Lon,Lat
NaN,NaN
100.25,8.25
100.42,7.75
100.58,7.17
100.92,6.92
101.5,6.83
101.83,6.42
102.25,6.08
102.67,5.75
103.08,5.42
103.42,4.92
103.42,4.42
103.42,3.92
103.42,3.42
103.42,2.92
103.75,2.58
104.08,2
104.25,1.42
103.5,1.42
103.17,1.67
102.75,1.92
102.25,2.17
101.92,2.5
101.42,2.83
101.33,3.33
100.92,3.75
100.58,4.25
100.67,4.75
100.42,5.08
100.33,5.67
100.33,6.08
100.08,6.67
99.75,7
99.42,7.33
99.08,7.83
99.08,7.83
98.67,8.25
98.42,8.08
98.25,8.5
98.25,9
98.5,9.58
98.5,10.17
98.5,10.67
98.75,11
98.75,11.42
98.5,11.92
98.75,12.5
98.58,13.08
98.25,13.67
98.08,14.25
97.92,14.75
97.83,15.33
97.75,15.83
97.58,16.33
97.25,16.75
96.92,16.92
96.75,16.58
96.25,16.33
95.83,16.08
95.5,15.75
95.08,15.75
94.75,15.83
94.25,16.08
94.42,16.58
94.58,17.17
94.5,17.75
94.33,18.33
94.17,18.83
93.83,18.83
93.58,19.25
93.75,19.5
93.5,19.92
93.17,19.92
92.92,20.25
92.5,20.67
92.17,21.08
92,21.5
91.92,21.92
91.75,22.33
91.42,22.75
90.92,22.42
90.58,22.17
90.25,21.83
89.75,21.75
89.25,21.67
88.75,21.58
88.33,21.5
88.17,22.08
88,21.75
87.58,21.58
87.08,21.42
86.92,21.08
87,20.75
86.75,20.33
86.42,19.92
85.92,19.75
85.5,19.67
85.08,19.33
84.83,19
84.5,18.58
84.08,18.25
83.67,18.08
83.33,17.83
83,17.42
82.58,17.17
82.33,17
82.25,16.58
82,16.33
81.5,16.25
81.17,16.17
81,15.75
80.42,15.83
80.17,15.42
80.08,15
80.17,14.42
80.25,13.83
80.33,13.25
80.25,12.67
80,12.17
79.75,11.75
79.75,11.25
79.83,10.83
79.83,10.25
79.33,10.25
79,9.75
79,9.25
78.58,9.17
78.17,8.92
78,8.33
77.58,8.08
77.17,8.25
76.83,8.58
76.5,9
76.33,9.58
76.17,10.17
76.17,10.17
76,10.67
75.83,11.17
75.58,11.58
75.25,12
75,12.42
74.83,13
74.67,13.5
74.5,14
74.42,14.5
74.08,15
73.75,15.5
73.5,16
73.33,16.42
73.25,17
73.17,17.5
73,18.08
72.83,18.67
73,19
72.83,19.25
72.67,19.75
72.75,20.25
72.83,20.83
72.58,21.25
72.5,21.67
72.58,22.17
72.33,22.25
72.17,21.83
72.08,21.25
71.67,20.92
71.17,20.75
70.58,20.75
70.08,21
69.67,21.42
69.33,21.75
69.08,22.25
69.67,22.25
70.17,22.42
70.33,22.92
69.75,22.75
69.17,22.75
68.67,23.08
68.33,23.5
67.92,23.75
67.42,23.92
67.33,24.33
67.17,24.75
66.83,25
66.58,25.33
66.08,25.42
65.58,25.33
65.17,25.25
64.67,25.17
64.25,25.25
63.83,25.42
63.5,25.25
62.92,25.25
62.42,25.17
61.83,25.08
61.17,25.17
60.75,25.25
60.17,25.33
59.67,25.33
59.17,25.42
58.58,25.58
58,25.67
57.33,25.75
57.17,26.25
57.08,26.67
56.75,27
56.25,27
55.75,26.83
55.33,26.67
54.75,26.42
54.33,26.67
53.83,26.58
53.5,26.92
53,27
52.58,27.42
52.17,27.67
51.5,27.83
51.25,28.25
51.08,28.75
50.67,29.25
50.33,29.83
50,30.17
49.58,30
49.25,30.25
48.92,30.5
48.58,30
48.33,29.58
47.75,29.42
48.17,29.25
48.33,28.75
48.58,28.25
48.83,27.83
49.25,27.42
49.67,27
50.08,26.67
50.25,26.25
50.25,26.25
50.17,25.83
50.5,25.42
50.67,25.17
51,25.58
51.08,26
51.33,26.08
51.58,25.75
51.67,25.25
51.58,24.75
51.25,24.25
51.67,24.25
51.83,24
52.42,23.92
52.75,24.17
53.25,24.17
53.83,24.08
54.25,24.17
54.5,24.58
55,24.92
55.33,25.25
55.67,25.58
56.08,25.83
56.25,26.17
56.5,26.08
56.42,25.83
56.42,25.33
56.42,24.75
56.83,24.33
57.25,24
57.75,23.75
58.25,23.67
58.83,23.5
59.08,23.08
59.42,22.67
59.83,22.42
59.58,21.92
59.33,21.42
59,21.17
58.75,20.83
58.5,20.42
58.08,20.42
57.83,20
57.75,19.5
57.92,19.08
57.5,18.92
57.08,18.83
56.75,18.58
56.58,18.08
56.33,17.92
55.92,17.83
55.42,17.67
55.25,17.17
54.83,16.92
54.42,17
53.92,16.92
53.42,16.67
52.92,16.5
52.42,16.25
52.25,15.92
52.25,15.58
51.75,15.42
51.25,15.25
50.75,15.08
50.25,14.92
49.67,14.75
49.17,14.5
48.83,14.08
48.33,13.92
47.83,13.92
47.42,13.58
47.08,13.33
46.58,13.25
46.08,13.33
45.67,13.33
45.42,13
44.92,12.83
44.42,12.75
43.92,12.67
43.5,12.75
43.17,13.25
43.25,13.75
43.08,14
42.92,14.58
42.75,15.17
42.67,15.67
42.75,16.08
42.67,16.5
42.42,17
42.08,17.5
41.75,17.75
41.5,18.17
41.25,18.67
41,19.17
40.75,19.67
40.33,20.08
39.67,20.25
39.5,20.58
39.17,20.92
39.08,21.5
39.08,21.5
39,21.92
39.08,22.25
39,22.75
38.75,23.25
38.42,23.75
38,24.08
37.5,24.33
37.25,24.83
37.08,25.33
36.75,25.83
36.42,26.17
36.08,26.67
35.75,27.17
35.5,27.58
35.17,28
34.67,28
34.83,28.5
35,29
35,29.5
34.67,28.92
34.42,28.33
34.42,27.92
34.17,27.75
33.75,28.08
33.42,28.42
33.25,28.75
33,29.08
32.75,29.58
32.58,30
32.33,29.83
32.58,29.42
32.67,29
32.92,28.58
33.25,28.17
33.58,27.83
33.67,27.42
33.92,27.08
34,26.67
34.33,26.17
34.5,25.75
34.75,25.25
35,24.83
35.25,24.33
35.58,24
35.5,23.58
35.58,23.25
35.83,22.75
36.17,22.5
36.58,22.25
36.92,22.08
36.92,21.5
37.25,21.08
37.25,20.75
37.17,20.25
37.25,19.67
37.33,19.25
37.58,18.67
38.08,18.42
38.58,18
38.83,17.58
39.08,17.08
39.17,16.5
39.25,16
39.5,15.58
39.83,15.5
40.08,15
40.67,14.75
41.17,14.58
41.58,14.08
42.08,13.67
42.42,13.25
42.83,12.83
43.25,12.42
43.42,11.92
42.92,11.67
43.25,11.42
43.58,11.08
43.92,10.67
44.25,10.42
44.75,10.33
45.25,10.5
45.75,10.75
46.33,10.67
46.83,10.75
47.42,11.08
48,11.08
48.5,11.25
49,11.17
49.58,11.33
50.17,11.5
50.58,11.92
51.17,11.75
51.08,11
51,10.42
50.75,10
50.75,9.42
50.42,8.92
50.17,8.5
49.92,8.17
49.92,8.17
49.75,7.67
49.5,7.25
49.25,6.75
49.08,6.33
48.92,5.75
48.5,5.42
48.17,5.08
47.92,4.58
47.67,4.17
47.25,3.75
46.92,3.42
46.5,3
46.17,2.58
45.75,2.25
45.33,1.92
44.83,1.75
44.42,1.42
44,1
43.58,0.75
43.17,0.42
42.92,0
42.42,-0.42
42.08,-0.92
41.75,-1.25
41.5,-1.75
41.08,-2.08
40.67,-2.5
40.25,-2.42
40.25,-3
39.92,-3.58
39.58,-4.17
39.33,-4.58
39.08,-5.08
38.92,-5.58
38.75,-6.08
39.17,-6.58
39.58,-7.08
39.33,-7.58
39.33,-8.17
39.42,-8.83
39.67,-9.42
39.83,-9.92
40.17,-10.17
40.5,-10.5
40.5,-11
40.42,-11.5
40.5,-12
40.5,-12.42
40.42,-13
40.58,-13.58
40.58,-14.08
40.75,-14.67
40.67,-15.17
40.42,-15.58
40.08,-16
39.75,-16.33
39.25,-16.75
38.92,-17.08
38.25,-17.17
37.83,-17.33
37.33,-17.5
37,-17.92
36.67,-18.33
36.25,-18.83
35.83,-19
35.5,-19.42
35.17,-19.67
34.75,-20
34.67,-20.5
35,-20.83
35.17,-21.42
35.33,-22.08
35.5,-22.5
35.5,-23.08
35.42,-23.5
35.5,-24
35.25,-24.5
34.92,-24.75
34.42,-24.92
33.75,-25.17
33.42,-25.33
32.92,-25.5
32.58,-26.08
32.92,-26.25
32.92,-26.58
32.92,-27
32.75,-27.5
32.58,-28.08
32.42,-28.58
32,-28.83
31.5,-29.17
31.25,-29.58
30.92,-30
30.67,-30.5
30.42,-30.92
30,-31.33
29.58,-31.67
29.25,-32
28.83,-32.42
28.83,-32.42
28.5,-32.75
28.08,-33
27.5,-33.33
27.08,-33.67
26.58,-33.75
26,-33.75
25.75,-34
25.08,-34
24.75,-34.25
24.25,-34.17
23.67,-34
23.25,-34.17
22.67,-34.08
22.08,-34.17
21.75,-34.42
21.08,-34.42
20.5,-34.5
20.17,-34.75
19.58,-34.75
19.17,-34.42
18.75,-34.08
18.42,-34.25
18.42,-33.83
18.25,-33.42
17.83,-32.83
18.08,-32.83
18.33,-32.58
18.25,-32
17.92,-31.42
17.58,-31
17.33,-30.58
17.17,-30
16.92,-29.58
16.75,-29
16.42,-28.58
15.92,-28.25
15.67,-27.83
15.33,-27.5
15.25,-27
15.08,-26.42
14.92,-25.92
14.83,-25.5
14.83,-25
14.58,-24.42
14.5,-24
14.5,-23.5
14.42,-22.92
14.5,-22.5
14.33,-22.08
13.92,-21.67
13.75,-21.25
13.42,-20.83
13.25,-20.25
12.92,-19.75
12.67,-19.25
12.42,-18.83
12.08,-18.5
11.83,-17.92
11.75,-17.42
11.75,-17
11.83,-16.5
11.83,-16
12.08,-15.5
12.17,-15
12.33,-14.5
12.5,-13.92
12.67,-13.33
13,-12.92
13.42,-12.67
13.67,-12.25
13.83,-11.83
13.92,-11.25
13.83,-10.67
13.58,-10.33
13.33,-9.92
13.17,-9.42
13,-9.17
13.42,-8.67
13.25,-8.17
13,-7.75
12.92,-7.25
12.67,-6.75
12.42,-6.42
12.33,-6
12.17,-5.75
12.17,-5.33
11.92,-4.92
11.58,-4.5
11.33,-4.08
11,-3.75
10.67,-3.42
10.33,-3.08
9.83,-2.75
9.5,-2.25
9.17,-1.83
9,-1.33
8.75,-0.83
9.25,-0.5
9.33,0
9.33,0
9.33,0.5
9.58,0.92
9.25,1.08
9.5,1.5
9.67,1.92
9.75,2.5
9.92,3.08
9.58,3.5
9.33,3.92
8.92,4
8.83,4.5
8.42,4.5
8,4.42
7.5,4.42
7,4.33
6.5,4.25
6,4.25
5.42,4.58
5.25,5.25
5,5.92
4.5,6.33
4,6.5
3.42,6.5
2.83,6.42
2.33,6.42
2.33,6.42
1.83,6.33
1.25,6.17
1,5.83
0.33,5.83
-0.25,5.5
-0.67,5.25
-1.08,5.17
-1.58,5
-2,4.75
-2.58,5
-3.08,5.08
-3.83,5.25
-4.33,5.25
-4.75,5.17
-5.33,5.08
-5.92,5
-6.33,4.67
-6.92,4.58
-7.42,4.25
-7.83,4.33
-8.33,4.5
-8.92,4.92
-9.42,5.25
-9.83,5.58
-10.33,6.08
-11,6.42
-11.42,6.83
-11.92,7.08
-12.42,7.33
-12.92,7.83
-13.08,8.25
-13.17,8.67
-13.25,9.17
-13.58,9.58
-14,10
-14.42,10.25
-14.67,10.67
-15,11.08
-15.42,11.25
-15.5,11.92
-15.92,11.83
-16.33,12.08
-16.75,12.33
-16.75,12.92
-16.67,13.42
-16.75,14
-17,14.5
-17.42,14.75
-17,15
-16.75,15.42
-16.42,15.83
-16.42,16.5
-16.25,17
-16.08,17.5
-16,18
-16,18.5
-16.17,19
-16.5,19.5
-16.17,19.83
-16.17,20.33
-16.58,20.75
-17,21.08
-16.92,21.58
-16.83,22.08
-16.5,22.33
-16.25,22.75
-16,23.42
-15.75,23.83
-15.42,24.25
-15,24.67
-14.75,25.25
-14.58,25.67
-14.42,26.17
-14.17,26.42
-13.67,26.67
-13.42,27
-13.25,27.5
-12.92,27.92
-12.17,28
-11.5,28.25
-11.17,28.67
-10.58,28.92
-10.17,29.33
-9.83,29.75
-9.58,30.33
-9.83,30.67
-9.83,31.5
-9.5,31.75
-9.25,32.17
-9.25,32.5
-8.83,32.83
-8.5,33.25
-8,33.5
-7.42,33.67
-6.83,34
-6.58,34.42
-6.33,34.83
-6.17,35.25
-5.92,35.75
-5.92,35.75
-5.42,35.83
-5.17,35.5
-4.5,35.17
-4.08,35.25
-3.42,35.25
-3,35.33
-2.42,35.08
-1.92,35.17
-1.25,35.42
-1,35.75
-0.5,35.83
0,35.92
0.5,36.25
1,36.5
1.75,36.58
2.42,36.67
2.92,36.83
3.42,36.83
3.83,36.92
4.42,36.92
5,36.83
5.33,36.67
5.83,36.75
6.25,37
7,36.83
7.42,37
8.17,36.83
8.67,36.92
9.08,37.17
9.58,37.25
10.08,37.17
10.33,36.67
11,36.92
10.75,36.5
10.42,36.33
10.58,35.75
10.92,35.58
11,35.17
10.75,34.75
10.33,34.42
10,34.17
10.08,33.75
10.5,33.58
10.92,33.67
11.08,33.25
11.67,33
12.17,32.83
12.83,32.83
13.58,32.75
14.17,32.67
14.75,32.42
15.33,32.25
15.33,31.75
15.58,31.5
16.08,31.25
16.67,31.17
17.5,31
18.17,30.67
18.67,30.33
19.17,30.25
19.58,30.42
19.92,30.67
20.08,31.08
20,31.5
19.83,31.83
20.08,32.17
20.67,32.58
21.25,32.75
21.83,32.83
22.5,32.75
23.08,32.58
23.17,32.17
23.75,32.08
24.33,31.92
24.92,31.92
25.17,31.5
25.75,31.58
26.33,31.5
26.92,31.42
27.33,31.25
27.83,31.08
28.42,31.08
29,30.83
29.5,30.92
30,31.17
30.58,31.42
31.17,31.5
31.83,31.42
31.75,31.08
32.17,30.92
32.33,31.25
32.67,31
33.25,31.08
34,31.17
34.33,31.5
34.67,32
34.83,32.5
35,33
35.25,33.5
35.25,33.5
35.5,34.08
35.83,34.5
35.75,35
35.75,35.67
35.92,36
35.75,36.33
36.08,36.67
36,36.92
35.5,36.58
35.17,36.58
34.5,36.83
34.08,36.5
33.58,36.17
33.17,36.17
32.75,36
32.25,36.17
32,36.5
31.25,36.75
30.67,36.83
30.5,36.42
29.75,36.17
29.25,36.33
28.58,36.75
28,36.75
28.17,37
27.67,37
27.17,37
27.5,37.33
27.08,37.58
27.17,37.92
26.75,38.08
26.25,38.25
26.33,38.58
26.67,38.33
26.92,38.42
26.75,38.67
26.67,39.25
26.83,39.5
26,39.42
26.17,40
26.58,40.33
27.17,40.33
27.75,40.33
28.42,40.33
29,40.33
28.92,40.58
29.42,40.67
28.83,41
28.17,41
27.42,40.92
27.08,40.67
26.58,40.33
26.17,40
26.17,40.25
26.58,40.58
26.08,40.5
25.75,40.83
25.17,40.92
24.75,40.83
24.25,40.92
24,40.67
23.5,40.67
23.75,40.42
23.58,40.17
23.08,40.17
22.58,40.58
22.5,40
22.83,39.58
23.17,39.25
23.33,38.92
23.67,38.67
24.08,38.5
24.17,38.17
24.58,38
24,38.17
24,37.58
23.5,37.92
22.92,38
22.58,38.33
21.83,38.25
21.08,38.33
20.67,38.75
20.33,39.25
20.08,39.58
19.75,40
19.33,40.25
19.33,40.75
19.42,41.33
19.5,41.75
19,42
18.5,42.33
17.92,42.58
17.33,43
16.58,43.42
16,43.5
15.75,43.75
15.17,44
15.17,44.33
14.92,44.58
14.92,44.58
14.83,45
14.17,45.33
14.08,45
13.75,44.83
13.5,45.08
13.42,45.42
13.58,45.67
13.08,45.75
12.58,45.5
12.17,45.5
12.08,45.17
12.33,44.92
12.17,44.58
12.25,44.25
12.67,43.92
13.08,43.67
13.58,43.42
13.83,43
13.92,42.58
14.17,42.33
14.67,42.08
15.25,41.83
16.08,41.83
15.83,41.5
16.33,41.33
16.92,41.08
17.42,40.83
17.92,40.58
18.42,40.17
18.25,39.83
17.92,39.92
17.83,40.25
17.33,40.33
16.92,40.5
16.67,40.17
16.5,39.67
17,39.42
17,39
16.5,38.83
16.5,38.42
16.17,38.17
16,37.92
15.67,37.92
15.67,38.17
15.83,38.58
16.08,38.83
16,39.25
15.75,39.67
15.67,40
15,40.17
14.75,40.58
14.42,40.67
14,40.92
13.58,41.25
12.92,41.25
12.42,41.5
12,41.92
11.5,42.33
11,42.33
10.92,42.67
10.42,43.08
10.17,43.5
10.08,44
9.5,44.08
9.17,44.25
8.67,44.33
8.25,44.17
8,43.83
7.42,43.67
6.83,43.42
6.42,43.08
5.83,43
5.25,43.25
4.58,43.33
4,43.5
3.58,43.25
3,43
3.08,42.5
3.17,41.92
2.67,41.67
2.08,41.33
1.5,41.17
1,41
0.5,40.42
0,39.92
-0.33,39.5
-0.25,39.08
0.25,38.75
-0.33,38.42
-0.67,38.08
-0.83,37.67
-1.33,37.67
-1.83,37.17
-2.17,36.75
-2.75,36.75
-3.33,36.75
-3.92,36.75
-4.5,36.67
-5,36.5
-5,36.5
-5.5,36.08
-6,36.25
-6.33,36.75
-6.5,37
-7,37.25
-7.42,37.25
-7.83,37.08
-8.33,37.17
-8.92,37.08
-8.75,37.5
-8.75,38
-8.67,38.5
-9.08,38.5
-9.33,38.83
-9.25,39.33
-8.92,39.67
-8.83,40.25
-8.67,40.75
-8.58,41.17
-8.75,41.67
-8.83,42
-8.75,42.42
-9.17,43
-8.92,43.25
-8.33,43.33
-8,43.75
-7.25,43.5
-6.58,43.5
-5.83,43.58
-5.08,43.5
-4.42,43.33
-3.58,43.5
-2.75,43.42
-2.17,43.33
-1.67,43.42
-1.42,43.67
-1.25,44.25
-1.17,44.67
-1.08,45.25
-1,45.83
-1.25,46.25
-1.75,46.5
-2,46.75
-1.92,47
-2.33,47.33
-2.5,47.5
-3.17,47.58
-3.75,47.83
-4.25,47.83
-4.67,48
-4.75,48.5
-4.17,48.58
-3.67,48.75
-3,48.83
-2.67,48.5
-2,48.58
-1.42,48.58
-1.58,49.17
-1.92,49.67
-1.33,49.67
-1.08,49.25
-0.58,49.33
0,49.25
0.17,49.67
0.58,49.83
1.08,49.92
1.5,50.08
1.58,50.5
1.75,50.83
2.33,51
3,51.25
3.58,51.42
4,51.75
4.33,52.08
4.58,52.42
4.75,52.83
5.08,52.92
5.08,52.42
5.5,52.25
5.92,52.5
5.92,52.75
5.5,52.83
5.5,53.25
6.08,53.42
7,53.42
7.33,53.67
8,53.67
8.5,53.5
8.58,53.83
9,54.08
8.67,54.33
9,54.5
8.67,54.83
8.67,55.33
8.17,55.58
8.08,56
8.08,56.5
8.25,56.83
8.67,57.08
8.67,57.08
9.42,57.17
9.83,57.5
10.5,57.58
10.5,57.25
10.25,56.83
10.25,56.5
10.83,56.5
10.83,56.17
10.17,56
9.75,55.5
9.42,55
10,54.75
10,54.5
10.92,54.25
10.75,53.92
11.33,53.92
11.83,54.17
12.25,54.33
12.92,54.42
13.33,54.67
13.67,54.33
13.25,54.17
13.83,54
14.33,53.92
15.17,54.17
16,54.25
16.67,54.58
17.5,54.75
18.33,54.83
18.67,54.33
19.25,54.33
19.75,54.5
20,54.92
20.75,55.17
21.08,55.67
21,56.17
21,56.75
21.33,57.08
21.67,57.58
22.42,57.67
22.92,57.42
23.25,57.08
23.83,57
24.33,57.25
24.33,57.75
24.33,58.25
23.75,58.33
23.5,58.75
23.5,59.17
24.17,59.42
25,59.5
25.92,59.58
26.83,59.42
27.92,59.42
28.33,59.67
29.17,60
30.17,59.83
29.75,60.25
29.08,60.17
28.33,60.58
27.17,60.58
26.25,60.42
25.33,60.25
24.42,60.08
23.5,60
22.58,60.17
22.08,60.42
21.33,60.67
21.33,61
21.67,61.5
21.25,62
21.17,62.5
21.58,63
22.42,63.42
23.25,63.92
24.08,64.33
24.67,64.83
25.33,65
25.33,65.5
24.5,65.83
23.83,65.75
23.17,65.75
22.42,65.83
22,65.5
21.42,65.33
21.5,65.08
21,64.75
21.67,64.5
21,64.17
20.67,63.83
19.83,63.58
19.17,63.33
18.42,63
17.75,62.5
17.42,62.25
17.33,61.75
17.17,61.25
17.25,60.83
17.92,60.5
17.92,60.5
18.58,60.17
18.83,59.83
18.58,59.58
18,59.33
18.33,59.17
17.58,58.92
16.83,58.58
16.67,58.25
16.67,57.75
16.5,57.33
16.33,56.75
15.92,56.17
15.33,56.17
14.67,56.17
14.17,55.75
14.25,55.42
13.67,55.42
13,55.42
13,55.75
12.67,56.17
12.92,56.5
12.33,56.92
12,57.42
11.67,58
11.33,58.5
11.08,59.08
10.58,59.33
10.25,59
9.75,59
9,58.58
8.5,58.25
7.67,58
6.83,58.08
6,58.33
5.58,58.58
5.67,59
6.17,59.33
5.42,59.25
5.25,59.58
5.58,59.92
5.08,60.33
5,60.75
4.83,61.17
5.25,61.5
4.92,61.83
5.67,62.17
6.33,62.5
7,62.92
8,63
8.5,63.33
8.92,63.75
9.5,63.5
10.08,63.92
10.67,64.33
11.33,64.92
12.17,65.25
12.58,65.75
13,66.17
13.33,66.58
13.83,67
14.67,67.42
15,67.83
16.17,68.33
15,68.25
14,68.17
12.92,67.83
13.67,68.25
15,68.42
14.42,68.67
15.33,68.92
16.17,69.25
15.92,68.75
16.58,69
16.67,68.67
17.58,69
17,69.08
17,69.42
18.08,69.58
18.92,70.08
20.17,70.08
21.5,70.25
22.33,70.67
23.33,70.92
24.25,70.67
24.83,71
25.67,71.17
25.58,70.58
26.58,70.92
26.83,70.5
27.75,71.08
29.08,70.92
30.17,70.67
31.17,70.42
30,70.08
28.75,70.17
30,69.83
31.25,69.75
32.08,69.92
33.08,69.75
33.08,69.75
33.08,69.42
34.5,69.33
35.83,69.17
37,68.92
38,68.58
39,68.25
40,68
40.92,67.67
41.25,67.25
41.25,66.75
40.58,66.42
39.5,66.17
38.33,66.08
37.25,66.25
36.25,66.33
35.33,66.42
